request_id,category,customer_question,agent_response
manual_slow_001_0,slow_internet,النت بطيء جداً عندي من الصباح,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_001_1,slow_internet,لو سمحت النت بطيء جداً عندي من الصباح,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_001_2,slow_internet,عندي سؤال: النت بطيء جداً عندي من الصباح,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_001_3,slow_internet,ممكن تساعدوني؟ النت بطيء جداً عندي من الصباح,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_001_4,slow_internet,السلام عليكم، النت بطيء جداً عندي من الصباح,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_001_5,slow_internet,النت بطيء جداً عندي من الصباح؟,يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز.
manual_slow_002_0,slow_internet,الإنترنت ضعيف رغم أن الإشارة ظاهرة,قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب.
manual_slow_002_1,slow_internet,لو سمحت الإنترنت ضعيف رغم أن الإشارة ظاهرة,قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب.
manual_slow_002_2,slow_internet,عندي سؤال: الإنترنت ضعيف رغم أن الإشارة ظاهرة,قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب.
manual_slow_002_3,slow_internet,ممكن تساعدوني؟ الإنترنت ضعيف رغم أن الإشارة ظاهرة,قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب.
