request_id,category,customer_question,agent_response
"manual_slow_001","slow_internet","النت بطيء جداً عندي من الصباح","يرجى إعادة تشغيل الهاتف ثم التأكد من تفعيل بيانات الهاتف واختيار وضع الشبكة المناسب. إذا استمرت المشكلة تحقق من التغطية في منطقتك أو تواصل مع الدعم مع ذكر الموقع ونوع الجهاز."
"manual_slow_002","slow_internet","الإنترنت ضعيف رغم أن الإشارة ظاهرة","قد تكون المشكلة من ازدحام الشبكة أو إعدادات الجهاز. جرّب إيقاف وتشغيل بيانات الهاتف وإعادة تشغيل الجهاز ثم اختبر الخدمة في مكان آخر قريب."
"manual_slow_003","slow_internet","السرعة عندي سيئة والصفحات تفتح بصعوبة","لتحسين السرعة جرّب إعادة تشغيل الهاتف وإغلاق التطبيقات التي تستهلك البيانات وتأكد من وجود تغطية جيدة. إذا بقي البطء أرسل موقعك التقريبي للدعم."
"manual_slow_004","slow_internet","البيانات تعمل لكن التحميل بطيء جداً","يرجى التأكد من قوة الإشارة ومن عدم انتهاء الباقة أو وجود استهلاك مرتفع. بعد ذلك أعد تشغيل الهاتف وجرب قياس السرعة مرة أخرى."
"manual_slow_005","slow_internet","عندي تقطيع في النت كل شوي","التقطيع قد يحدث بسبب ضعف التغطية أو إعدادات الشبكة. جرّب اختيار الشبكة تلقائياً وإعادة تشغيل الجهاز ثم راقب الخدمة لبضع دقائق."
"manual_slow_006","slow_internet","النت يفصل ويرجع بدون سبب","يرجى تجربة الشريحة في جهاز آخر إن أمكن والتأكد من إعدادات APN. إذا تكررت المشكلة تواصل مع الدعم مع وقت الانقطاع وموقعك."
"manual_slow_007","slow_internet","الفيديوهات لا تشتغل بسبب ضعف الإنترنت","تحقق من الرصيد أو الباقة ومن قوة الإشارة ثم أعد تشغيل بيانات الهاتف. إذا كانت المشكلة في منطقة محددة فقد تكون مرتبطة بالتغطية."
"manual_slow_008","slow_internet","سرعة الإنترنت أقل من المعتاد بكثير","يرجى إغلاق التطبيقات المفتوحة وإعادة تشغيل الهاتف والتأكد من أن الشبكة على الوضع التلقائي. إذا استمرت المشكلة يمكن رفعها للدعم الفني."
"manual_no_conn_001","no_connection","لا يوجد اتصال بالإنترنت نهائياً","يرجى التأكد من تفعيل بيانات الهاتف ووجود رصيد أو باقة فعالة ثم إعادة تشغيل الجهاز. إذا لم تعمل الخدمة تحقق من إعدادات APN."
"manual_no_conn_002","no_connection","الهاتف يظهر شبكة لكن الإنترنت لا يعمل","قد تكون بيانات الهاتف غير مفعلة أو إعدادات APN غير صحيحة. فعّل البيانات وأعد ضبط APN ثم أعد تشغيل الجهاز."
"manual_no_conn_003","no_connection","البيانات لا تفتح أي موقع","تأكد من وجود باقة أو رصيد كافٍ ومن تفعيل بيانات الهاتف. إذا استمرت المشكلة جرّب إعادة ضبط إعدادات الشبكة."
"manual_no_conn_004","no_connection","لا أستطيع استخدام الإنترنت بعد تبديل الشريحة","بعد تبديل الشريحة تأكد من إعدادات APN ومن تفعيل بيانات الهاتف. أعد تشغيل الجهاز ثم جرّب الاتصال مرة أخرى."
"manual_no_conn_005","no_connection","الإنترنت توقف فجأة على رقمي","يرجى التحقق من الرصيد أو الباقة ومن عدم تفعيل وضع الطيران. أعد تشغيل الجهاز وإذا بقيت المشكلة تواصل مع الدعم."
"manual_no_conn_006","no_connection","عندي رصيد لكن لا يوجد إنترنت","قد تحتاج إلى تفعيل البيانات أو ضبط APN. تأكد أيضاً من أن الباقة مناسبة لاستخدام الإنترنت."
"manual_apn_001","apn_settings","ما هي إعدادات APN الصحيحة؟","لضبط الإنترنت افتح إعدادات الشبكة في الهاتف ثم أضف أو عدّل نقطة الوصول APN حسب إعدادات Rcell المعتمدة. بعد الحفظ اختر نقطة الوصول وأعد تشغيل البيانات."
"manual_apn_002","apn_settings","كيف أضبط نقطة الوصول APN؟","ادخل إلى إعدادات الهاتف ثم الشبكات الخلوية ثم أسماء نقاط الوصول. أضف إعدادات APN الخاصة بـ Rcell واحفظها ثم أعد تشغيل بيانات الهاتف."
"manual_apn_003","apn_settings","أحتاج إعدادات الإنترنت على الهاتف","يرجى ضبط APN من إعدادات الشبكة الخلوية ثم حفظ الإعدادات واختيارها كنقطة وصول نشطة. بعد ذلك أعد تشغيل الجهاز."
"manual_apn_004","apn_settings","النت لا يعمل بعد تغيير APN","راجع قيمة APN واحذف نقاط الوصول القديمة إن لزم ثم أعد إضافة إعدادات Rcell الصحيحة واحفظها. أعد تشغيل بيانات الهاتف بعد الحفظ."
"manual_apn_005","apn_settings","أين أجد إعدادات APN في الأندرويد؟","في أندرويد افتح الإعدادات ثم الشبكات أو الاتصالات ثم شبكة الهاتف ثم أسماء نقاط الوصول APN. أضف إعدادات Rcell واحفظها."
"manual_apn_006","apn_settings","كيف أضبط الإنترنت على الآيفون؟","في الآيفون افتح الإعدادات ثم خلوي ثم شبكة البيانات الخلوية وأدخل إعدادات APN الخاصة بـ Rcell ثم أعد تشغيل البيانات."
"manual_selfcare_001","selfcare_login","لا أستطيع الدخول إلى تطبيق Self-Care","تأكد من اتصال الإنترنت ومن صحة رقم الهاتف وكلمة المرور. إذا نسيت كلمة المرور استخدم خيار استعادة كلمة المرور أو تواصل مع الدعم."
"manual_selfcare_002","selfcare_login","تطبيق Self-Care لا يقبل تسجيل الدخول","يرجى التأكد من تحديث التطبيق وإدخال البيانات الصحيحة. إذا استمرت المشكلة جرّب استعادة كلمة المرور ثم أعد المحاولة."
"manual_selfcare_003","selfcare_login","يظهر خطأ عند تسجيل الدخول في الخدمة الذاتية","قد يكون الخطأ من كلمة المرور أو الاتصال. أعد تشغيل التطبيق وتأكد من الإنترنت ثم استخدم خيار نسيت كلمة المرور عند الحاجة."
"manual_selfcare_004","selfcare_login","حسابي في Self-Care لا يفتح","يرجى التأكد من الرقم وكلمة المرور وتحديث التطبيق. إذا بقيت المشكلة تواصل مع الدعم لمراجعة الحساب."
"manual_selfcare_005","selfcare_login","نسيت بيانات الدخول لتطبيق الرعاية الذاتية","استخدم خيار استعادة كلمة المرور داخل التطبيق واتبع التعليمات. إذا لم تصلك رسالة الاستعادة تواصل مع فريق الدعم."
"manual_selfcare_006","selfcare_login","الخدمة الذاتية لا تعمل على هاتفي","تأكد من تحديث التطبيق ومن اتصال الإنترنت. إذا كان التطبيق لا يفتح احذف ذاكرة التخزين المؤقت أو أعد تثبيته."
"manual_password_001","password_reset","نسيت كلمة المرور ماذا أفعل؟","استخدم خيار نسيت كلمة المرور في التطبيق أو الموقع واتبع خطوات الاستعادة. إذا لم تنجح العملية تواصل مع الدعم للتحقق من الحساب."
"manual_password_002","password_reset","أريد تغيير كلمة المرور","يمكنك تغيير كلمة المرور من إعدادات الحساب داخل تطبيق Self-Care أو من خيار استعادة كلمة المرور إذا لم تكن تتذكرها."
"manual_password_003","password_reset","الباسورد لا يعمل معي","تأكد من إدخال كلمة المرور بشكل صحيح ومن لغة لوحة المفاتيح. إذا استمرت المشكلة استخدم خيار نسيت كلمة المرور."
"manual_password_004","password_reset","كيف أستعيد كلمة مرور الحساب؟","اضغط على نسيت كلمة المرور ثم أدخل رقمك واتبع التعليمات لإعادة التعيين. إذا واجهت مشكلة تواصل مع الدعم."
"manual_password_005","password_reset","لم تصلني رسالة استعادة كلمة المرور","تأكد من وجود تغطية واستقبال رسائل على الرقم ثم حاول مرة أخرى. إذا لم تصل الرسالة تواصل مع الدعم."
"manual_pin_001","pin_security","كيف أفعل رمز PIN؟","يمكن تفعيل الرمز السري PIN من إعدادات الحساب أو حسب التعليمات المعتمدة للخدمة. احتفظ بالرمز ولا تشاركه مع أي شخص."
"manual_pin_002","pin_security","أريد حماية حسابي برمز سري","يفضل تفعيل PIN لحماية الحساب من الاستخدام غير المصرح. ادخل إلى إعدادات الحساب واتبع خطوات تفعيل الرمز."
"manual_pin_003","pin_security","نسيت رمز PIN","إذا نسيت رمز PIN لا تحاول التخمين عدة مرات. تواصل مع الدعم للتحقق من الحساب ومساعدتك بطريقة آمنة."
"manual_pin_004","pin_security","هل أحتاج PIN للحساب؟","رمز PIN يساعد في حماية الحساب والعمليات الحساسة. ننصح بتفعيله وعدم مشاركته."
